a person that you have met but do not know well;acquaintance
to get something;to acquire
the process of adding numbersor amounts together;addition
a long, narrow space between rows ofseats in an aircraft, cinema, or church;aisle
a change or changes made to the words of a text;amendment
to start to be seen or to be present;appear
an occasion when someone appears in public;appearance
to request something, usuallyofficially, especially in writing or by sending in a form;to apply
to recognize how good someone or something is and to value him, her, or it;to appreciate
hanging loosely because of being too big or having been stretched;baggy
not willing to do something and therefore slow to do it;be reluctant
the way that someone behaves;behaviour
to not be loyal to your country or a person, often by doing something harmful such as helping their enemies;to betray
an act of betraying someone or something, or the fact of someone or something being betrayed;betrayal
to get or receive something from someone with the intention of giving it back after a period of time;borrow
the member of a family who earns themoney that the family needs;breadwinner
to happen at or near the same time,  to be the same or similar;coincide
to examine or look for the difference between two or more things;compare
to deal successfully with a difficult situation;cope with
a change made to something in order to correct or improve it, or theaction of making such a change;correction
a style of cooking;cuisine
a person who buys goods or aservice;customer
a condition or situation that causesproblems, especially one that causes something or someone to be less successful than other things or people;disadvatages
(a feeling of) not being certain about something, especially about how good or true it is;doubt
a disadvantage or the negative partof a situation;drawbacks
to improve the quality of something by adding something else;enrich
extremely large;enormous
to use something in a way that helps you;to exploit
the fact of someone or something not succeeding;failure
